Referencia,perfil,genero,jornada,equipo,ubicacion,nivel_estudios,estado_civil,edad,antiguedad_empresa,grupo_profesional,salario_mensual,departamento,distancia_trabajo_km,promociones,satisfaccion,salario_anual,impacto_abandono,scoring_abandono
TRB-0000223,1,0,1,EUSKADI,1,4,SOLTERO/A,25,2,3,2195,TECNICAS,19,2,2,26340,5268.0,0.061139584
TRB-0000224,1,0,1,PAMPLONA,1,3,SOLTERO/A,30,2,3,2187,TECNICAS,18,2,2,26244,5248.8,0.16192806
TRB-0000225,1,0,1,PALMA DE MALLORCA,1,5,SOLTERO/A,47,2,2,2012,TECNICAS,19,0,3,24144,4828.8,0.36727297
TRB-0000226,0,0,1,SANTANDER,1,4,SOLTERO/A,45,0,2,2012,TECNICAS,7,0,2,24144,4828.8,0.0
TRB-0000234,1,0,1,EUSKADI,1,4,SOLTERO/A,26,1,2,2012,TECNICAS,7,0,2,24144,4828.8,0.15197504
TRB-0000235,1,1,1,SEVILLA,1,2,SOLTERO/A,32,0,3,2195,TECNICAS,14,0,2,26340,5268.0,0.38646746
TRB-0000236,1,0,1,EL SALVADOR,0,4,SOLTERO/A,29,0,2,2012,TECNICAS,20,0,4,24144,4828.8,0.21252167
TRB-0000237,1,0,1,EL SALVADOR,0,4,SOLTERO/A,39,0,4,2444,TECNICAS,10,0,3,29328,5865.6,0.024270833
TRB-0000241,1,0,1,EL SALVADOR,0,4,SOLTERO/A,28,0,3,2309,TECNICAS,17,0,4,27708,5541.6,0.0009711981
TRB-0000242,1,0,1,EL SALVADOR,0,4,SOLTERO/A,43,0,4,2545,TECNICAS,16,0,4,30540,6108.0,0.010766506
TRB-0000243,1,0,1,EL SALVADOR,0,4,SOLTERO/A,27,0,2,2024,TECNICAS,12,0,3,24288,4857.6,0.021199822
TRB-0000246,1,0,1,EUSKADI,1,4,SOLTERO/A,29,0,2,2114,TECNICAS,10,0,3,25368,5073.6,0.029211223
TRB-0000247,1,0,1,BARCELONA,1,3,SOLTERO/A,25,0,2,2012,TECNICAS,14,0,4,24144,4828.8,0.26400465
TRB-0000248,1,0,1,VALENCIA,1,4,SOLTERO/A,30,0,3,2186,TECNICAS,8,0,3,26232,5246.400000000001,0.06899494
TRB-0000249,1,0,1,VALENCIA,1,4,SOLTERO/A,40,0,4,2477,TECNICAS,19,0,3,29724,5944.8,0.09755969
